DR NUMBER,DATE REPORTED,DATE OCCURRED,TIME OCCURRED,AREA ID,AREA NAME,REPORTING DISTRICT,CRIME CODE,CRIME CODE DESCRIPTION,MO CODES,VICTIM AGE,VICTIM SEX,VICTIM DESCENT,PREMISE CODE,PREMISE DESCRIPTION,WEAPON USED CODE,WEAPON DESCRIPTION,STATUS CODE,STATUS DESCRIPTION,CRIME CODE 1,CRIME CODE 2,CRIME CODE 3,CRIME CODE 4,ADDRESS,CROSS STREET,LOCATION ,LATITUDE,LONGITUDE,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center
160101156,08/09/2016,08/09/2016,1800,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0429,56,F,B,102,SIDEWALK,308,STICK,IC,Invest Cont,230,,,,6TH                          ST,SAN JULIAN                   ST,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120886,08/10/2016,08/09/2016,2200,01,Central,0166,121,"RAPE, FORCIBLE",1218 0500,34,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120951,08/10/2016,08/10/2016,1600,01,Central,0157,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 1813 1814 0408 0444 0421 0429 0319 2000,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,500 E  6TH                          ST,,"(34.0423, -118.2452)",34.0423, -118.2452,POINT (-118.2452 34.0423),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120939,08/11/2016,08/11/2016,0145,01,Central,0158,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1218 1813 1814 0416,55,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,7TH                          ST,CENTRAL                      AV,"(34.0368, -118.2412)",34.0368, -118.2412,POINT (-118.2412 34.0368),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120982,08/12/2016,08/11/2016,1300,01,Central,0155,624,BATTERY - SIMPLE ASSAULT,0416 1218,,F,B,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,200 E  6TH                          ST,,"(34.0448, -118.2474)",34.0448, -118.2474,POINT (-118.2474 34.0448),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120989,08/11/2016,08/11/2016,1900,01,Central,0155,624,BATTERY - SIMPLE ASSAULT,0416 0429 2004 1218,51,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,WALL,"(34.0435, -118.2471)",34.0435, -118.2471,POINT (-118.2471 34.0435),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121162,08/14/2016,08/14/2016,1410,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 1218 0913 0416 0305,35,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,5TH,SAN PEDRO,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121190,08/14/2016,08/14/2016,1700,01,Central,0148,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0344,28,F,B,102,SIDEWALK,,,IC,Invest Cont,626,,,,5TH                          ST,TOWNE,"(34.043, -118.242)",34.043, -118.242,POINT (-118.242 34.043),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121224,08/15/2016,08/15/2016,1140,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0400,48,F,B,102,SIDEWALK,513,STUN GUN,IC,Invest Cont,230,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121225,08/15/2016,08/15/2016,1010,01,Central,0166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1218,48,F,B,517,,,,IC,Invest Cont,341,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121252,08/15/2016,08/15/2016,2200,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,1416 1218 2004,66,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121281,08/16/2016,08/16/2016,1200,01,Central,0156,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,58,M,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)",34.0423, -118.2452,POINT (-118.2452 34.0423),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121300,08/16/2016,08/16/2016,1400,01,Central,0157,910,KIDNAPPING,1300 1218 0418 0443 0416 0319,27,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,910,,,,5TH                          ST,BROADWAY,"(34.0416, -118.244)",34.0416, -118.244,POINT (-118.244 34.0416),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121303,08/16/2016,08/16/2016,2000,01,Central,0157,220,ATTEMPTED ROBBERY,1260 0337 0416 1218,41,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,220,,,,6TH                          ST,SAN PEDRO                    ST,"(34.0417, -118.2443)",34.0417, -118.2443,POINT (-118.2443 34.0417),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121469,08/18/2016,08/17/2016,1400,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0417 1218,49,M,H,517,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121704,08/21/2016,08/17/2016,2300,01,Central,0146,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,59,F,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,5TH                          ST,WALL,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121417,08/18/2016,08/18/2016,0120,01,Central,0146,210,ROBBERY,0344 1218 0305 0400 2004 0408,49,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH,WALL,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121425,08/18/2016,08/18/2016,0640,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218,30,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)",34.0423, -118.2452,POINT (-118.2452 34.0423),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121463,08/18/2016,08/18/2016,1230,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 0430 1100 2004 1218,25,F,B,102,SIDEWALK,107,OTHER FIREARM,IC,Invest Cont,230,,,,5TH                          ST,TOWNE,"(34.043, -118.242)",34.043, -118.242,POINT (-118.242 34.043),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121471,08/18/2016,08/18/2016,1400,01,Central,0147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0411 1218 0445 0444 0416 0368 0429,40,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,230,,,,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121678,08/21/2016,08/21/2016,2235,01,Central,0156,624,BATTERY - SIMPLE ASSAULT,1206 1218 2004 0416 0429,55,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437, -118.2455,POINT (-118.2455 34.0437),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121798,08/22/2016,08/22/2016,1730,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0411 1019 1218,67,M,B,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,230,998,,,6TH,TOWNE,"(34.0408, -118.2428)",34.0408, -118.2428,POINT (-118.2428 34.0408),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160101188,08/24/2016,08/24/2016,2226,01,Central,0147,110,CRIMINAL HOMICIDE,1100 2004 1218 0430,49,M,B,101,STREET,107,OTHER FIREARM,AA,Adult Arrest,110,,,,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121985,08/25/2016,08/24/2016,2030,01,Central,0155,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2004,28,M,B,102,SIDEWALK,,,IC,Invest Cont,440,,,,6TH                          ST,WALL                         ST,"(34.0435, -118.2471)",34.0435, -118.2471,POINT (-118.2471 34.0435),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160101194,08/25/2016,08/25/2016,2200,01,Central,0166,121,"RAPE, FORCIBLE",1218 0416 1019 1316,52,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,998,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122018,08/25/2016,08/25/2016,1130,01,Central,0156,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1218 2004,48,F,B,517,,511,VERBAL THREAT,IC,Invest Cont,930,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437, -118.2455,POINT (-118.2455 34.0437),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122078,08/26/2016,08/26/2016,1725,01,Central,0158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 1206 2000 1814 1813 0445 0334,63,M,B,102,SIDEWALK,207,OTHER KNIFE,AO,Adult Other,230,998,,,6TH,GLADYS,"(34.0403, -118.2421)",34.0403, -118.2421,POINT (-118.2421 34.0403),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122083,08/26/2016,08/26/2016,0850,01,Central,0158,624,BATTERY - SIMPLE ASSAULT,0416 0429 1816 1218,55,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,CERES,"(34.0394, -118.2405)",34.0394, -118.2405,POINT (-118.2405 34.0394),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122217,08/29/2016,08/29/2016,0030,01,Central,0157,440,THEFT PLAIN - PETTY ($950 & UNDER),2004 1218 0344 1810,41,M,W,516,,,,IC,Invest Cont,440,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122358,08/30/2016,08/30/2016,1030,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0444,37,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,998,,,6TH                          ST,SAN JULIAN,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122459,08/31/2016,08/31/2016,2200,01,Central,0156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218,50,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437, -118.2455,POINT (-118.2455 34.0437),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122465,08/31/2016,08/31/2016,2000,01,Central,0156,210,ROBBERY,1206 0400 0448 0429 0344 1218,44,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)",34.0423, -118.2452,POINT (-118.2452 34.0423),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122469,08/31/2016,08/31/2016,2000,01,Central,0155,624,BATTERY - SIMPLE ASSAULT,1218 0417 1501 2004,42,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,MAPLE,"(34.0439, -118.2479)",34.0439, -118.2479,POINT (-118.2479 34.0439),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122546,09/02/2016,09/02/2016,0130,01,Central,0156,624,BATTERY - SIMPLE ASSAULT,0400 1218,52,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)",34.0423, -118.2452,POINT (-118.2452 34.0423),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122576,09/03/2016,09/02/2016,1645,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1218 1402 0430 0913 0345,48,M,B,102,SIDEWALK,101,REVOLVER,AA,Adult Arrest,230,998,,,7TH,TOWNE,"(34.0396, -118.2451)",34.0396, -118.2451,POINT (-118.2451 34.0396),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122577,09/02/2016,09/02/2016,1300,01,Central,0146,350,"THEFT, PERSON",1218 2004 0344,53,F,B,102,SIDEWALK,,,IC,Invest Cont,350,,,,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122597,09/03/2016,09/03/2016,0436,01,Central,0156,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1218 2004 0329 1814 2000,42,F,B,102,SIDEWALK,,,AO,Adult Other,745,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437, -118.2455,POINT (-118.2455 34.0437),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160101212,09/04/2016,09/04/2016,1800,01,Central,0156,210,ROBBERY,0416 0344 1218 2004,65,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122705,09/05/2016,09/05/2016,0230,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0416 2004 1218,42,M,H,709,PUBLIC RESTROOM(INDOORS-INSIDE),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122722,09/05/2016,09/05/2016,1255,01,Central,0165,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 2004 0411 1218 1008 0416,39,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,998,,,5TH,MAPLE,"(34.0433, -118.2488)",34.0433, -118.2488,POINT (-118.2488 34.0433),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160122816,09/06/2016,09/06/2016,1420,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,1218 2004 1202 0416,60,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 E  6TH                          ST,,"(34.0417, -118.2443)",34.0417, -118.2443,POINT (-118.2443 34.0417),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160124339,09/28/2016,09/07/2016,1330,01,Central,0157,121,"RAPE, FORCIBLE",0500 0527 0532 0421 0446 0416 0342 1218,39,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,6TH,CROCKER,"(34.0417, -118.2443)",34.0417, -118.2443,POINT (-118.2443 34.0417),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123062,09/09/2016,09/09/2016,2140,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,2004 0416 1218,58,M,B,102,SIDEWALK,308,STICK,IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123086,09/09/2016,09/09/2016,2300,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0448 0444,44,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6TH,WALL,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123142,09/10/2016,09/09/2016,2200,01,Central,0155,480,BIKE - STOLEN,0344 1218,58,M,H,101,STREET,,,IC,Invest Cont,480,,,,6TH,MAPLE,"(34.0439, -118.2479)",34.0439, -118.2479,POINT (-118.2479 34.0439),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123199,09/11/2016,09/11/2016,2100,01,Central,0155,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,54,F,H,102,SIDEWALK,,,IC,Invest Cont,440,,,,6TH                          ST,WALL,"(34.0435, -118.2471)",34.0435, -118.2471,POINT (-118.2471 34.0435),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123214,09/12/2016,09/12/2016,1050,01,Central,0157,648,ARSON,1218,45,F,B,102,SIDEWALK,,,IC,Invest Cont,648,,,,6TH                          ST,CROCKER,"(34.0417, -118.2443)",34.0417, -118.2443,POINT (-118.2443 34.0417),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123259,09/13/2016,09/13/2016,0040,01,Central,0148,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 2004 1218,75,M,H,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,230,,,,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123300,09/13/2016,09/13/2016,1450,01,Central,0156,624,BATTERY - SIMPLE ASSAULT,2004 1218 0416 0417,45,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,SAN JULIAN,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123342,09/13/2016,09/13/2016,2130,01,Central,0146,350,"THEFT, PERSON",0344 0346 1218,58,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,5TH                          ST,WALL,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160123785,09/20/2016,09/13/2016,1540,01,Central,0155,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 0305,57,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,6TH                          ST,MAPLE,"(34.0439, -118.2479)",34.0439, -118.2479,POINT (-118.2479 34.0439),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
