DATE OCCURRED,Year,Quarter,Month,Week,Day,TIME OCCURRED,CRIME CODE,CRIME CODE DESCRIPTION,VICTIM AGE,VICTIM SEX,PREMISE CODE,PREMISE DESCRIPTION,WEAPON USED CODE,WEAPON DESCRIPTION,LATITUDE,LONGITUDE,CT10
8/24/2016,2016,3,8,35,4,2226,110,CRIMINAL HOMICIDE,49,M,101,STREET,107,OTHER FIREARM,34.0442,-118.2439,206300
8/24/2016,2016,3,8,35,4,2030,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,102,SIDEWALK,,,34.0435,-118.2471,206300
8/25/2016,2016,3,8,35,5,2200,121,"RAPE, FORCIBLE",52,F,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,34.0421,-118.2469,206300
8/25/2016,2016,3,8,35,5,1130,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,48,F,517,,511,VERBAL THREAT,34.0437,-118.2455,206300
8/26/2016,2016,3,8,35,6,1725,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",63,M,102,SIDEWALK,207,OTHER KNIFE,34.0403,-118.2421,206300
8/26/2016,2016,3,8,35,6,850,624,BATTERY - SIMPLE ASSAULT,55,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0394,-118.2405,206300
8/29/2016,2016,3,8,36,2,30,440,THEFT PLAIN - PETTY ($950 & UNDER),41,M,516,,,,34.0442,-118.2439,206300
8/30/2016,2016,3,8,36,3,1030,626,INTIMATE PARTNER - SIMPLE ASSAULT,37,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
8/31/2016,2016,3,8,36,4,2200,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
8/31/2016,2016,3,8,36,4,2000,210,ROBBERY,44,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,206300
8/31/2016,2016,3,8,36,4,2000,624,BATTERY - SIMPLE ASSAULT,42,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0439,-118.2479,206300
9/2/2016,2016,3,9,36,6,130,624,BATTERY - SIMPLE ASSAULT,52,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,206300
9/2/2016,2016,3,9,36,6,1645,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,M,102,SIDEWALK,101,REVOLVER,34.0396,-118.2451,206300
9/2/2016,2016,3,9,36,6,1300,350,"THEFT, PERSON",53,F,102,SIDEWALK,,,34.0449,-118.2458,206300
9/3/2016,2016,3,9,36,7,436,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),42,F,102,SIDEWALK,,,34.0437,-118.2455,206300
9/4/2016,2016,3,9,37,1,1800,210,ROBBERY,65,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
9/5/2016,2016,3,9,37,2,230,624,BATTERY - SIMPLE ASSAULT,42,M,709,PUBLIC RESTROOM(INDOORS-INSIDE),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
9/5/2016,2016,3,9,37,2,1255,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0433,-118.2488,206300
9/6/2016,2016,3,9,37,3,1420,624,BATTERY - SIMPLE ASSAULT,60,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0417,-118.2443,206300
9/7/2016,2016,3,9,37,4,1330,121,"RAPE, FORCIBLE",39,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0417,-118.2443,206300
9/9/2016,2016,3,9,37,6,2140,624,BATTERY - SIMPLE ASSAULT,58,M,102,SIDEWALK,308,STICK,34.0421,-118.2469,206300
9/9/2016,2016,3,9,37,6,2300,626,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
9/9/2016,2016,3,9,37,6,2200,480,BIKE - STOLEN,58,M,101,STREET,,,34.0439,-118.2479,206300
9/11/2016,2016,3,9,38,1,2100,440,THEFT PLAIN - PETTY ($950 & UNDER),54,F,102,SIDEWALK,,,34.0435,-118.2471,206300
9/12/2016,2016,3,9,38,2,1050,648,ARSON,45,F,102,SIDEWALK,,,34.0417,-118.2443,206300
9/13/2016,2016,3,9,38,3,40,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",75,M,102,SIDEWALK,207,OTHER KNIFE,34.0442,-118.2439,206300
9/13/2016,2016,3,9,38,3,1450,624,BATTERY - SIMPLE ASSAULT,45,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
9/13/2016,2016,3,9,38,3,2130,350,"THEFT, PERSON",58,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
9/13/2016,2016,3,9,38,3,1540,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,F,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0439,-118.2479,206300
9/14/2016,2016,3,9,38,4,1730,210,ROBBERY,30,M,101,STREET,207,OTHER KNIFE,34.0428,-118.2461,206300
9/15/2016,2016,3,9,38,5,600,220,ATTEMPTED ROBBERY,58,M,101,STREET,312,PIPE/METAL PIPE,34.0448,-118.2474,206300
9/15/2016,2016,3,9,38,5,800,624,BATTERY - SIMPLE ASSAULT,40,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
9/15/2016,2016,3,9,38,5,930,210,ROBBERY,54,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0403,-118.2421,206300
9/16/2016,2016,3,9,38,6,600,121,"RAPE, FORCIBLE",30,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,206300
9/17/2016,2016,3,9,38,7,2045,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
9/17/2016,2016,3,9,38,7,1400,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),48,F,101,STREET,,,34.0421,-118.2405,206300
9/18/2016,2016,3,9,39,1,2200,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,101,STREET,302,BLUNT INSTRUMENT,34.0428,-118.2461,206300
9/19/2016,2016,3,9,39,2,2300,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,102,SIDEWALK,,,34.0417,-118.2443,206300
9/20/2016,2016,3,9,39,3,1000,624,BATTERY - SIMPLE ASSAULT,33,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
9/21/2016,2016,3,9,39,4,1328,624,BATTERY - SIMPLE ASSAULT,43,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
9/22/2016,2016,3,9,39,5,1650,624,BATTERY - SIMPLE ASSAULT,57,F,517,,312,PIPE/METAL PIPE,34.0421,-118.2469,206300
9/23/2016,2016,3,9,39,6,330,210,ROBBERY,19,M,101,STREET,109,SEMI-AUTOMATIC PISTOL,34.0423,-118.2452,206300
9/26/2016,2016,3,9,40,2,530,624,BATTERY - SIMPLE ASSAULT,48,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
9/27/2016,2016,3,9,40,3,830,210,ROBBERY,68,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
9/28/2016,2016,3,9,40,4,425,624,BATTERY - SIMPLE ASSAULT,58,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,34.0421,-118.2469,206300
9/28/2016,2016,3,9,40,4,2130,624,BATTERY - SIMPLE ASSAULT,56,M,102,SIDEWALK,308,STICK,34.0387,-118.2439,206300
10/1/2016,2016,4,10,40,7,830,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,25,F,102,SIDEWALK,511,VERBAL THREAT,34.0421,-118.2405,206300
10/1/2016,2016,4,10,40,7,2200,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,101,STREET,,,34.0417,-118.2443,206300
10/2/2016,2016,4,10,41,1,800,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
10/5/2016,2016,4,10,41,4,1100,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
10/6/2016,2016,4,10,41,5,30,624,BATTERY - SIMPLE ASSAULT,33,F,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0439,-118.2479,206300
10/8/2016,2016,4,10,41,7,1650,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,34.0435,-118.2471,206300
10/9/2016,2016,4,10,42,1,1100,901,VIOLATION OF RESTRAINING ORDER,28,F,101,STREET,,,34.0421,-118.2405,206300
10/10/2016,2016,4,10,42,2,1145,624,BATTERY - SIMPLE ASSAULT,47,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
10/13/2016,2016,4,10,42,5,1730,624,BATTERY - SIMPLE ASSAULT,45,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0423,-118.2452,206300
10/18/2016,2016,4,10,43,3,200,440,THEFT PLAIN - PETTY ($950 & UNDER),67,F,102,SIDEWALK,,,34.0395,-118.2405,206300
10/20/2016,2016,4,10,43,5,1200,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.043,-118.242,206300
10/22/2016,2016,4,10,43,7,1050,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,F,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0421,-118.2405,206300
10/22/2016,2016,4,10,43,7,1630,121,"RAPE, FORCIBLE",38,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
10/23/2016,2016,4,10,44,1,1625,350,"THEFT, PERSON",27,M,102,SIDEWALK,,,34.0428,-118.2461,206300
10/25/2016,2016,4,10,44,3,1800,210,ROBBERY,53,M,102,SIDEWALK,312,PIPE/METAL PIPE,34.043,-118.242,206300
10/26/2016,2016,4,10,44,4,2000,440,THEFT PLAIN - PETTY ($950 & UNDER),47,F,517,,,,34.0421,-118.2469,206300
10/28/2016,2016,4,10,44,6,2220,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,F,504,OTHER RESIDENCE,308,STICK,34.0449,-118.2458,206300
10/28/2016,2016,4,10,44,6,2200,210,ROBBERY,36,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0448,-118.2474,206300
10/29/2016,2016,4,10,44,7,2030,210,ROBBERY,19,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0448,-118.2474,206300
10/30/2016,2016,4,10,45,1,1215,624,BATTERY - SIMPLE ASSAULT,41,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0416,-118.244,206300
11/2/2016,2016,4,11,45,4,1145,440,THEFT PLAIN - PETTY ($950 & UNDER),49,F,116,OTHER/OUTSIDE,,,34.0437,-118.2455,206300
11/3/2016,2016,4,11,45,5,1040,440,THEFT PLAIN - PETTY ($950 & UNDER),52,M,517,,,,34.0449,-118.2458,206300
11/3/2016,2016,4,11,45,5,230,210,ROBBERY,29,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0442,-118.2439,206300
11/4/2016,2016,4,11,45,6,1315,210,ROBBERY,51,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.043,-118.242,206300
11/8/2016,2016,4,11,46,3,2140,624,BATTERY - SIMPLE ASSAULT,39,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0448,-118.2474,206300
11/8/2016,2016,4,11,46,3,725,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",63,M,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,34.0428,-118.2461,206300
11/9/2016,2016,4,11,46,4,1230,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0417,-118.2443,206300
11/9/2016,2016,4,11,46,4,1220,624,BATTERY - SIMPLE ASSAULT,55,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,34.0408,-118.2428,206300
11/9/2016,2016,4,11,46,4,1230,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,71,F,102,SIDEWALK,511,VERBAL THREAT,34.0442,-118.2439,206300
11/11/2016,2016,4,11,46,6,900,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",55,M,102,SIDEWALK,304,CLUB/BAT,34.0428,-118.2461,206300
11/11/2016,2016,4,11,46,6,2300,210,ROBBERY,50,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0454,-118.2466,206300
11/13/2016,2016,4,11,47,1,2030,624,BATTERY - SIMPLE ASSAULT,58,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
11/14/2016,2016,4,11,47,2,1940,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,47,F,102,SIDEWALK,101,REVOLVER,34.0442,-118.2439,206300
11/14/2016,2016,4,11,47,2,1940,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,67,M,101,STREET,101,REVOLVER,34.0442,-118.2439,206300
11/17/2016,2016,4,11,47,5,2330,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,102,SIDEWALK,218,OTHER CUTTING INSTRUMENT,34.0394,-118.2405,206300
11/18/2016,2016,4,11,47,6,145,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,F,102,SIDEWALK,204,FOLDING KNIFE,34.0423,-118.2452,206300
11/19/2016,2016,4,11,47,7,1000,624,BATTERY - SIMPLE ASSAULT,69,M,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
11/23/2016,2016,4,11,48,4,1310,624,BATTERY - SIMPLE ASSAULT,42,F,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0403,-118.2421,206300
11/24/2016,2016,4,11,48,5,830,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,60,M,102,SIDEWALK,510,SCALDING LIQUID,34.0417,-118.2443,206300
11/25/2016,2016,4,11,48,6,1245,624,BATTERY - SIMPLE ASSAULT,52,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2471,206300
11/26/2016,2016,4,11,48,7,2340,210,ROBBERY,57,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0395,-118.2405,206300
12/1/2016,2016,4,12,49,5,1200,440,THEFT PLAIN - PETTY ($950 & UNDER),36,F,726,POLICE FACILITY,,,34.0448,-118.2474,206300
12/2/2016,2016,4,12,49,6,1930,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,M,101,STREET,312,PIPE/METAL PIPE,34.0442,-118.2439,206300
12/3/2016,2016,4,12,49,7,125,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),44,F,102,SIDEWALK,,,34.0428,-118.2461,206300
12/7/2016,2016,4,12,50,4,505,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
12/7/2016,2016,4,12,50,4,1000,440,THEFT PLAIN - PETTY ($950 & UNDER),35,F,517,,,,34.0421,-118.2469,206300
12/8/2016,2016,4,12,50,5,1245,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
12/9/2016,2016,4,12,50,6,30,210,ROBBERY,63,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2471,206300
12/11/2016,2016,4,12,51,1,420,624,BATTERY - SIMPLE ASSAULT,35,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
12/12/2016,2016,4,12,51,2,1215,624,BATTERY - SIMPLE ASSAULT,34,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
12/13/2016,2016,4,12,51,3,850,121,"RAPE, FORCIBLE",51,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
12/15/2016,2016,4,12,51,5,2220,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,102,SIDEWALK,308,STICK,34.0442,-118.2439,206300
12/17/2016,2016,4,12,51,7,1830,761,BRANDISH WEAPON,41,M,102,SIDEWALK,207,OTHER KNIFE,34.0428,-118.2461,206300
12/18/2016,2016,4,12,52,1,1110,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,101,STREET,311,HAMMER,34.0437,-118.2455,206300
12/22/2016,2016,4,12,52,5,730,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,F,101,STREET,207,OTHER KNIFE,34.0417,-118.2443,206300
12/23/2016,2016,4,12,52,6,2000,440,THEFT PLAIN - PETTY ($950 & UNDER),47,F,517,,,,34.0421,-118.2469,206300
12/24/2016,2016,4,12,52,7,800,624,BATTERY - SIMPLE ASSAULT,42,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
12/25/2016,2016,4,12,53,1,450,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0454,-118.2466,206300
12/25/2016,2016,4,12,53,1,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
12/28/2016,2016,4,12,53,4,745,624,BATTERY - SIMPLE ASSAULT,65,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
1/5/2017,2017,1,1,1,5,1000,210,ROBBERY,42,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0439,-118.2479,206300
1/5/2017,2017,1,1,1,5,730,440,THEFT PLAIN - PETTY ($950 & UNDER),52,M,517,,,,34.0421,-118.2469,206300
1/6/2017,2017,1,1,1,6,5,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,44,F,101,STREET,511,VERBAL THREAT,34.0454,-118.2466,206300
1/6/2017,2017,1,1,1,6,500,624,BATTERY - SIMPLE ASSAULT,32,M,517,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
1/7/2017,2017,1,1,1,7,30,624,BATTERY - SIMPLE ASSAULT,27,F,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0417,-118.2443,206300
1/7/2017,2017,1,1,1,7,300,624,BATTERY - SIMPLE ASSAULT,39,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.043,-118.242,206300
